"Name","CPC-A-Hypoxia","CPC-B-Hypoxia","CPC-C-Hypoxia","CPC-A-Normoxia","CPC-B-Normoxia","CPC-C-Normoxia","MSC-D-Hypoxia","MSC-E-Hypoxia","MSC-F-Hypoxia","MSC-D-Normoxia","MSC-E-Normoxia","MSC-F-Normoxia","RCF-A-Hypoxia","RCF-B-Hypoxia","RCF-C-Hypoxia","RCF-A-Normoxia","RCF-B-Normoxia","RCF-C-Normoxia","CEC-D-Hypoxia","CEC-E-Hypoxia","CEC-F-Hypoxia","CEC-D-Normoxia","CEC-E-Normoxia","CEC-F-Normoxia"
"Cer(42:1;O2)",10236.5530786618,30044.6957342812,10947.7874589295,10234.7130175525,144818.256554495,5268.21882718263,5456.21749296604,3911.26019991603,2339.36555031632,2362.06632700696,3239.56838748011,5902.14743031133,16092.1499533601,14915.340913231,20178.6945927241,5365.95352366441,5603.90942117242,4569.80923803161,51266.9942291829,355506.182243828,30076.0397951508,17951.0449531938,407049.241272091,33044.8873110636
"Cer(42:2;O2)",8634.24216563109,43027.2819280525,8262.27348590316,9986.34964917351,381572.101000404,4054.22574160767,3937.44841716064,2597.89800120861,2620.37300418877,1223.25473051982,1962.70215721064,8934.46884273496,63024.1624876741,67814.6894824773,98321.5253794533,16082.6935752951,23745.5433384875,14844.1547240071,196416.845876375,1347014.66780765,121735.797151863,67657.7074665846,1486644.91636079,129495.321512861
"Flurandrenolide",18846.7133482917,8459.9690155995,18054.6237978742,16918.4444883864,17550.0165616763,9261.95509921713,28473.6066329954,25959.4060644806,23016.8045101651,25743.387752283,26853.7435013784,19768.5360170764,15388.6290124583,5852.960895059,9516.17560759976,11437.1195354314,40055.3893537711,7626.09258139343,7429.41038723098,7473.01827642019,4155.86783171723,2661.47460363441,6464.57427729605,2344.98213273512
"Furazolidone",918.426017735934,833.027230616807,1141.53293292225,539.246734636796,619.297086028768,1719.21632652837,4871.35263518774,6997.18583682392,4562.61612528556,4005.70990918423,3480.80387497394,5669.08945834785,4309.2874226028,20083.6365573839,7253.9792390376,7887.24450855542,4648.22971312843,3480.8286439586,5121.58492878673,1826.19074721998,8452.42804116672,4624.77864757981,931.602147687006,6243.7047946233
"LPC(16:0)",58136.2753303253,101457.890623084,63961.9921365504,69671.2327238302,145268.307870384,61568.0801707983,38941.0898130734,24562.7258196919,13589.0558868922,14591.5100480174,15048.7298143318,24114.7996622196,31562.5467832463,63651.5545180058,123060.784956557,16106.9329497414,16161.9897311263,21868.8611241231,8629.68413082996,15866.0895384611,10246.5399092746,4804.42510256137,8073.06043756482,15075.1967368719
"LPC(18:0)",126951.599714052,142602.408298248,129928.376756755,100084.052641753,202931.119238878,62051.864138841,53728.8252702393,31921.2023837625,13940.1080850318,23201.1964647599,14111.9894577065,38519.5597063882,39760.1269171627,94005.1684196689,231286.962516541,18238.7994368816,28748.3664674899,27921.867674283,6621.82346003902,12815.6498168333,5856.13273568284,3007.20880537407,7977.50498321843,10324.4480949996
"LPC(18:1)",12131.6623616188,35788.8135236858,15375.8182232249,20404.7012836778,68113.9155964432,14237.4111386256,14809.2899653945,10638.5855790298,6174.05092694637,6308.19470848168,7667.67530717871,10372.5016175458,9363.01790339349,17123.9177803967,37245.6815701021,4954.14514025157,3942.76624674675,7114.1521223523,5737.55845667326,12526.5419870268,4655.93711929829,2707.91244778536,6282.48567957186,6645.91972801489
"N-{[(2R,4S,5R)-5-(1-Methyl-3-phenyl-1H-pyrazol-5-yl)-1-azabicyclo[2.2.2]oct-2-yl]methyl}methanesulfonamide",3250.85161303186,951.29639423374,1147.51952428411,708753.269458349,2204.30152069103,1394.97590084692,3284.94071617729,966.034128018802,774.034286895174,2268.96063122416,1094.75171688763,707.865318047568,3953.11706760006,683.062686642305,342.527674070055,1360.35565095457,699.6134980913,1479.85573118448,598.246829213757,1219.6818843907,1046.8003998436,670.238122625847,420.856559496019,2391.00215759212
"PC(30:0)",87441.5571280497,136820.744439266,102853.784595572,113948.627781002,215549.638478564,41126.6733402818,21775.4921246797,17077.3731312728,9002.3535921129,8262.601440845,9073.35239624952,14658.6806384315,63827.5342949976,73407.1547450033,125204.296204211,23680.2471094043,25019.6805668926,16859.7000097216,33524.7923366168,107458.913890576,23625.8623220527,11168.6050421263,102188.341135041,37682.6190893514
"PC(32:0)",178182.741789257,289820.910444335,276040.629288109,227668.018517483,836060.762998477,111687.7965245,49552.8391138461,33915.0414740333,19424.8879173439,17345.5022157637,19074.1717125589,34386.8322950857,184366.695143397,203640.111438804,272477.806987949,69274.2338607184,77311.1138194293,42302.7250028877,114758.312887264,464898.746345126,60661.2873030189,37371.2017657038,428564.931169918,85505.0531721522
"PC(32:1)",222046.195059355,296271.729345551,198357.599753085,334906.796225438,457643.941844353,77173.0705641197,83710.404126247,57586.3548543171,25769.9598798416,26784.3376429901,29165.5745584151,49116.9952555133,130533.880821663,244063.467385116,397092.770222356,51854.91108941,55522.5135379206,22862.2104109095,61275.0053959751,201304.721796695,60482.6592563076,15387.9285229207,301590.01803321,133316.990911203
"PC(33:1)",127947.971710368,125945.746303288,117642.982039151,172345.055452288,121497.901315089,38103.2896809644,31157.4475773694,24226.7959052354,9153.59802139413,13324.903429367,14395.0487166038,23367.7443420011,64229.461677705,107945.885351846,206573.040326834,21923.0884365935,24955.5038257183,13930.4890987812,20724.5391802239,100744.488742771,10983.8844287284,9097.42371670607,94157.4452707575,18275.0239334257
"PC(34:0)",37482.6172531276,52623.7520543465,56993.3285454878,47469.751646714,260374.444493532,23230.7337028745,16604.180341051,7168.67356739542,4603.24781747613,4313.80510821848,4607.10631643593,7755.81229426407,59962.714961025,60209.6430384967,78696.2123737728,23257.9819583536,23201.8878523506,12646.0466895896,21280.3153455623,103182.228452484,10065.8369748314,6028.10405124454,97514.8704115905,14281.2824844562
"PC(34:1)",509052.981044307,594877.085540636,521256.000652359,584099.825606022,2752838.65759828,302969.333073376,259925.946088496,184165.881820516,103723.595364946,104634.291345994,114801.448493926,175317.035379624,589535.170903148,674458.882060853,1720357.33364222,210688.091793245,213200.907474078,229217.199757951,332500.944441399,1942339.09798738,304116.134167838,177545.835910209,1829591.09255917,295928.429094638
"PC(36:1)",151220.359725162,254995.535430701,202493.146819001,224400.991625691,1171856.14937825,82983.2128858037,111526.868584214,82042.2665928672,47144.7984927276,45908.9072399336,46214.2945746573,77454.2509974468,409354.393682781,433557.757489799,717384.950823847,151872.327209836,149766.275566102,122652.822717993,139364.910665745,630152.179657007,80392.9040426431,49502.9414967318,543514.148152805,111704.147241239
"PC(36:2)",151040.680626249,231661.345784647,171901.080551638,193305.649085714,970351.933057467,61488.169183414,96268.8251633856,69629.2031560521,38113.2199457226,38145.3688325297,39762.9073550967,63681.9630402799,340698.69056156,332642.445282746,612388.321003488,126378.707467141,117424.678763686,91661.3851572599,214441.596008356,701580.125883271,139139.374705784,80696.7900740435,676124.950782781,175765.867991694
"PC(36:3)",143874.652998574,106561.01864917,115913.010269018,183729.236366469,654668.097843471,39275.7149589715,37057.8920659611,24126.7728895102,11434.3888872907,11068.0287159966,14773.2256695588,17497.9367526021,81209.3497789901,151203.231297847,296682.673451699,32257.9500833243,33641.1183279337,26377.3680469382,59314.1135323052,231060.624188723,33800.126634677,23433.9433972564,214062.881624606,54387.4112939835
"PC(36:4)",96495.9235416648,68303.3291549233,78200.07104309,136888.750949283,448128.40619835,33438.2205609669,19733.6988406384,12998.264547893,5505.40700778871,7592.29706893669,8027.95598923137,15159.4116518505,38090.8300692542,80490.4512934204,148046.314840542,14947.6100791523,20695.7013155484,14391.136119244,22095.4086171965,81178.7216151418,12416.0188254621,8729.27976010907,69477.7883252871,24092.9782187144
"PC(38:3)",50812.3589432321,28751.2430579322,49551.5746742115,67552.4883586883,117978.165902411,19814.2837485855,19046.9487342062,13411.9936108082,7352.87030692636,8727.80361744368,8227.10388532273,14912.9140884796,42506.9220444068,60233.1573633518,89302.7521278113,17868.9976259121,17671.3808380021,14537.7390569742,18261.4958451482,133715.640006638,14918.980364819,7131.80460664513,109696.040396128,14629.3241139789
"PC(38:4)",112365.148209694,70758.5150515354,115682.680912104,147255.545227084,509028.638815666,46802.0381121483,34622.3438776771,24858.8527791074,14875.8667160735,15509.4605414891,15518.131463323,27213.4378886341,66607.7975337942,107278.41428507,167464.069110342,27242.7346386648,30240.3165063965,26532.6060182779,38605.7549951699,215248.090706645,19505.2887642331,17348.5218581167,190558.31961077,36645.9115775222
"PC(38:5)",98279.3474065724,37945.3489583238,73112.0205491534,144278.999397776,250220.040016753,28257.1044972529,32808.0079018304,18752.9719023024,8369.67886365036,12904.3680848097,8961.64070814465,24498.1944241077,59822.6158176297,132344.897821576,196768.296656669,23624.0726874404,30495.8506922731,15062.6722843327,27436.2608355046,111442.003149956,7698.20102822302,11057.9554806232,89374.0776792991,24437.2341586445
"PC(40:5)",48062.8197682807,13162.9007407386,32945.652448093,64817.003035693,74998.233410951,13428.3994089132,22412.3415748542,15240.616876389,9459.07077595287,10772.4023135259,11342.7755175676,13809.9086476388,51176.6100309976,80418.3183980012,119287.795057401,23053.4014703213,22479.2449532363,18624.2036768854,22216.3450836739,111174.694677402,8932.52179519866,9897.35736539698,106500.308418823,16763.3314266677
"PC(40:6)",55221.7917466984,11580.062675577,35881.9211813149,76346.5275541569,154391.164670165,15378.5693473325,22863.2642615402,18095.3063275079,10887.0931024878,12491.0497567381,11822.6558756592,18955.2201967081,56268.650555213,99679.2890136604,145107.211885732,25228.6030794267,29518.399510892,24580.9070364537,19488.761039004,117738.91737604,7750.03474715757,8946.88309625626,91103.8344327366,16047.2624273618
"PC(O-34:1)",21355.3208222815,58312.0575055913,27270.0408955326,25490.3825916534,553807.29016951,10131.8624675033,7062.26502070741,5875.10764736072,3336.63105111567,2782.01101149421,3223.52034481798,7887.73167815947,162538.137202187,127634.828916365,269716.48733914,62970.7904499572,49224.6148973287,37650.8286681447,16908.6719598998,87713.5921086697,10788.1265892351,6166.2347063425,79184.5256186149,18026.643020278
"PE(36:1)",26533.3589788106,41957.0850933078,39113.5862957287,32159.4378684241,421388.49133577,16607.1728315898,10153.7519021334,8305.88459167545,4287.26641122286,3809.52856254561,4825.53978847073,6958.5544178781,65915.4782005914,53975.0563114299,83330.5851884489,19264.1331810908,20540.7923893631,8709.34980795373,23545.6777523034,77381.2563921927,12285.5835097943,6694.91428681683,85928.4061056044,13908.8978986969
"PE(O-38:7)",41863.5117252751,20059.4028036198,48658.8158434618,60054.9932801947,296341.078779311,12036.0942946004,16405.3239506067,8777.27631569999,5403.18866381659,5758.20277028127,6592.09453002831,10222.9048377697,56131.748726275,58670.1940300922,82575.4773619404,13693.6685018698,15538.7099741661,5357.53138921268,5358.94803540639,25267.8352976472,1220.39853336668,911.667856640559,21625.3246714824,1192.98031418008
"SM(32:1;O2)",84651.2379915045,67101.1254231542,71116.5682096674,121835.603337563,53749.173216228,32156.5188708913,17017.3702852937,11622.3422883476,5931.07204746081,5712.73258659862,6886.59830393255,14171.7647136838,25062.0787788696,84698.0284393648,124766.787240463,9747.24892969785,21796.2306445076,11011.3731194218,17878.9839323452,29529.3405071838,13782.4890544961,7160.74126175512,26450.0615072981,28656.0173079668
"SM(33:1;O2)",52892.6427865759,37469.137580808,45448.8012659475,72132.4227516142,24345.7765489405,20078.8723999827,10538.3443815574,6576.51779575294,3393.55478434359,3352.5881614156,3753.77807173127,8789.95465747095,24982.6189910504,60987.1923762445,89269.431271936,8722.72640565984,15859.3398795839,9099.48324869363,11524.7378960163,24276.5609573247,6512.80347427824,4243.11611722886,21151.5251625966,13886.1082054929
"SM(34:0;O2)",26376.4260222644,27812.299725955,28349.7814653834,40767.1346445222,277359.02533385,11801.9335303049,5733.8179905443,3912.58205261961,1347.1132931975,1922.41542007846,2343.36573172999,4483.25362725633,22722.9480473447,42802.079830264,62110.1643100396,13032.4743455412,13794.4912438667,7666.45371473448,7323.3529039031,56573.575174686,5882.70208942225,3701.68386619592,40490.8600159153,9513.50098202019
"SM(34:1;O2)",615389.841882376,576689.899620194,597321.249430511,799099.555297747,2864550.39874205,256384.607892869,152489.861844773,109633.13821684,65101.5280715065,58604.6074347881,66246.8849608836,133295.150222428,646266.201731653,978605.227324673,1382675.81126952,213400.553266816,296822.742978025,173595.043567263,284371.987049537,970926.841467302,190829.388885995,110218.089198413,842463.155374209,309301.780443531
"SM(34:2;O2)",201698.35823221,164724.631847242,177457.626886237,259931.604678717,92512.8296107181,76265.0947152331,34078.2690998509,23348.7355175268,11812.8930375874,11958.3398866383,14103.2536528811,29963.7644688162,91577.8261592775,245139.251024981,436453.796261247,37585.3016167115,62231.0911482877,39589.0324690257,69523.0753504065,122530.118670237,67797.1001681689,29680.2458407815,111517.400138046,128864.630195856
"SM(36:1;O2)",26513.5015231407,28374.0532550307,30109.3819783657,35817.5745282918,82692.5883588705,15631.6111089405,7208.24279208879,7717.26011649959,3730.12496734487,4538.95757964309,5726.21418857279,8487.65376518309,132146.152883136,131758.792906763,177604.076173298,43902.7393380387,44618.4063807627,23480.6738450391,26824.4392230566,101581.310482815,10111.6218899269,8880.57854778454,129495.655927269,14353.1660171858
"SM(40:1;O2)",31040.1120352354,60132.5608691732,64942.5846733988,63111.2663473223,148043.69318678,29865.7074938529,13647.0503184858,16204.9637741359,11059.6901097271,11218.0673693971,12549.8767012681,17586.2614854984,140295.500166935,134252.959588632,114322.425376335,27321.7944108221,47161.6829002813,28136.2069768492,41479.9983193683,238756.353099251,15159.2826854097,15698.5116245221,243665.568849891,22434.8568349664
"SM(42:1;O2)",64059.9335046684,102624.456157043,97251.3307032997,106171.646917854,433872.869701196,48324.4951447705,23960.8931345389,22487.639815809,14106.190610024,12887.4366594593,15037.6836314759,22791.5147794019,117821.95813843,114565.562399164,127770.225679211,30854.0855121542,41423.9455730714,23658.7868211806,54013.9301894631,304551.498375209,25338.5742797222,19305.5081714699,337649.962083499,35880.8389543787
"SM(42:2;O2)",68600.0850099612,147767.475803921,124382.684059315,140684.41584452,1142249.37827176,59593.0092399044,15792.8152365898,26429.1537626115,18858.4358487409,16890.4576588063,19822.2273186985,32969.0624592508,422976.679111218,390469.805590043,255875.993970319,87553.934311464,147510.482375657,82791.3441652066,147334.479992329,792940.643659181,84557.7600281647,50302.9087540864,867089.311890229,112007.413334501
"SM(42:3;O2)",20864.7191725058,44217.3975524848,44652.4145390827,36462.7122979265,370652.112431452,19237.5705302014,9701.64993101682,5168.15672127326,3449.74028856504,4483.6629832341,5212.63422189843,8106.79844205775,105495.628363046,92741.4905844023,135657.334015873,33701.0991548757,35305.8228876473,20523.083896573,33682.1014347669,175314.743926093,18570.246222387,12901.5799671024,176032.934268004,27995.6783811757
"TG(48:1)",58780.5829011559,34204.7405530138,16977.0653455318,31836.7506637778,228805.860721735,11107.8035763979,55073.3697000959,33453.0920006038,21675.0848377719,21036.9319168684,19762.5806536186,26793.7531461422,42848.7362172997,94061.0774307948,20670.2770541631,20105.4523238945,17580.0028201365,29848.5233309632,17238.7228203971,53292.5677458998,17136.9521821708,24409.3813133548,30744.0471571703,18214.9994010369
"TG(50:1)",60344.4430857204,42232.6384625838,27804.1763854363,34880.5833856458,430178.406963548,21275.9002281179,61323.2775418265,33987.0111711635,24775.2343864235,23272.807333222,22785.7156423371,35101.0627675369,46116.4707861817,75421.1621257561,33998.4922508856,28962.7848320161,23360.0005406055,36970.6919506794,23678.3043084792,87387.4143460769,22795.9128529146,24085.3255460015,56630.1480395834,21675.145014136
"TG(50:2)",54740.5934279736,35034.9622040375,22671.14962047,29587.8121869952,308401.320216594,17835.6115895465,4283.76438536668,31947.589626033,3042.71847764981,19620.6594323459,1923.47458016285,3487.78290477592,44415.0126557545,65786.3813361411,28811.6339867132,20569.8248640649,17937.9866388592,29304.7950075939,16621.4763973228,87246.8946141212,22496.9187291548,24064.6881382966,46713.1227341397,19167.3724817349
"cholesterol M - H2O",40316.8843665571,43996.085314439,33426.1563105402,45615.9626668478,44607.6600017559,12375.6986719445,8800.25869393455,4487.20237800979,2683.58188238291,2016.75069090271,2488.86081309903,4858.23813043118,25864.7787578124,38713.6616280913,74928.6189436155,11431.16218578,14439.51755193,8721.99662854583,11396.2603318435,31745.5043276109,7591.69950619227,2248.69342815325,32571.4175910676,9917.0280373214
"{(2R,4S,5R)-5-[3-(2-Furyl)-1-methyl-1H-pyrazol-5-yl]-1-azabicyclo[2.2.2]oct-2-yl}methyl isopropylcarbamate",638.035133763479,676.290908073214,1584.28732263576,2805.09335969719,608.156215950897,721.933231417937,1107.89853643969,768.816804152026,1009.48281691261,711.692450723189,699.926108279429,1035.98866407336,1327.33928954003,464.480054021083,843.693091118111,776.565974548501,789.986625743724,938.084593060933,10450.5669033374,1794.40566201945,420.277433589749,324.678848465925,1936.36228456334,577.944302894765
"α-Methyl-DL-histidine",160.70755871417,147.790437992375,692.15317413961,1234.80958439538,164.159959837566,172.793893203933,125.56139717226,135.589056913921,144.722336760987,139.41716015774,139.721467471866,151.60942509217,961.146212870447,958.480911109545,1343.23457389972,145.318238188865,132.168303187602,124.115337997499,514.631233202195,3095.70763845268,215.714040598443,203.715825838273,973.794093509229,1149.86095114437
